Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,4114.00,4160.50,4100.50,4143.00,1569900,4143.00
2016-02-15,4128.50,4342.00,4056.50,4073.00,2891000,4073.00
2016-02-08,4126.00,4130.50,3801.72,4046.50,4765100,3922.632
2016-02-01,4506.50,4541.50,4053.00,4109.50,3938700,3983.704
2016-01-25,4379.00,4487.50,4295.00,4487.50,2668700,4350.133
2016-01-18,4216.50,4395.00,4190.00,4360.50,2414700,4227.021
2016-01-11,4336.00,4427.50,4181.50,4230.00,2266600,4100.515
2016-01-04,4565.00,4577.00,4349.00,4349.00,2520900,4215.873
2015-12-28,4540.00,4634.00,4509.50,4616.50,682000,4475.184
2015-12-21,4372.00,4552.50,4328.12,4540.00,1193400,4401.026
2015-12-14,4339.50,4519.50,4280.00,4371.50,2851600,4237.684
2015-12-07,4437.50,4534.00,4325.00,4330.00,1864800,4197.454
2015-11-30,4504.00,4627.50,4408.04,4442.00,2256400,4306.026
2015-11-23,4491.00,4541.00,4440.50,4512.50,1631800,4374.368
2015-11-16,4056.50,4500.03,4050.44,4499.50,2606100,4361.766
2015-11-09,4220.50,4234.00,3999.54,4094.00,1872800,3968.678
2015-11-02,4117.00,4314.00,4096.00,4226.00,2048700,4096.638
2015-10-26,4086.50,4288.22,4039.00,4150.50,1822000,4023.449
2015-10-19,4130.50,4182.00,3931.25,4069.50,2291700,3944.928
2015-10-12,4199.00,4206.50,4042.00,4146.00,1858900,4019.087
2015-10-05,4228.00,4270.59,4090.50,4209.50,2424500,4080.643
2015-09-28,4305.00,4351.00,4087.00,4168.00,2222700,4040.413
2015-09-21,4369.00,4450.70,4160.50,4330.00,2395000,4197.454
2015-09-14,4311.00,4387.71,4243.00,4370.00,2765000,4236.23
2015-09-07,4214.00,4335.00,4206.00,4285.50,1844000,4154.316
2015-08-31,4120.00,4280.00,3994.00,4181.50,2555600,4053.50
2015-08-24,3984.50,4156.38,3746.00,4120.00,3881100,3993.883
2015-08-17,4278.00,4333.98,4035.58,4054.00,1937000,3929.903
2015-08-10,4339.00,4362.00,4234.50,4247.50,2138500,4117.479
2015-08-03,4304.00,4432.00,4282.03,4320.50,2229900,4132.089
2015-07-27,4240.00,4351.00,4135.50,4320.00,2669100,4131.611
2015-07-20,4328.50,4379.00,4246.00,4253.50,1492800,4068.011
2015-07-13,4320.00,4414.76,4278.50,4315.00,2295000,4126.829
2015-07-06,4122.00,4285.00,4120.00,4284.50,2150400,4097.659
2015-06-29,4054.00,4238.56,4019.00,4167.00,3486800,3985.283
2015-06-22,4234.50,4375.55,4115.00,4193.50,2440900,4010.627
2015-06-15,4190.00,4293.33,4126.50,4189.00,3074800,4006.324
2015-06-08,4354.50,4372.00,4100.00,4211.00,2312800,4027.365
2015-06-01,4503.50,4518.50,4285.50,4367.50,3183700,4177.04
2015-05-25,4473.50,4523.50,4362.00,4372.50,2263100,4181.822
2015-05-18,4390.00,4501.97,4345.50,4473.50,2266100,4278.417
2015-05-11,4544.50,4584.50,4351.00,4367.50,2322800,4177.04
2015-05-04,4461.50,4552.50,4314.18,4532.00,1992800,4334.366
2015-04-27,4750.00,4761.00,4400.82,4461.50,3437300,4266.94
2015-04-20,4756.50,4931.68,4664.00,4749.50,2822000,4542.381
