Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,1242.00,1257.00,1238.00,1245.00,3286100,1245.00
2016-02-15,1212.00,1237.00,1202.00,1229.00,3868300,1229.00
2016-02-08,1229.00,1234.00,1170.00,1190.00,5313000,1190.00
2016-02-01,1209.00,1238.00,1167.00,1220.00,4696500,1220.00
2016-01-25,1118.00,1208.00,1107.00,1203.00,4187700,1203.00
2016-01-18,1121.00,1164.23,1079.00,1116.00,4285000,1116.00
2016-01-11,1118.00,1164.00,1118.00,1121.00,3497400,1101.625
2016-01-04,1169.00,1171.00,1103.15,1122.00,2758700,1102.607
2015-12-29,1168.00,1198.00,1162.00,1175.00,1577100,1154.691
2015-12-21,1130.00,1168.00,1127.00,1160.00,1619000,1139.951
2015-12-14,1110.00,1170.00,1108.50,1132.00,3287600,1112.435
2015-12-07,1170.00,1184.00,1113.00,1114.00,2678000,1094.746
2015-11-30,1141.00,1186.00,1134.00,1161.00,4106200,1140.933
2015-11-23,1062.00,1147.00,1061.00,1141.00,4071300,1121.279
2015-11-16,1016.00,1090.00,1013.00,1073.00,3515500,1054.454
2015-11-09,1070.00,1072.00,1026.00,1027.00,2387600,1009.249
2015-11-02,1104.00,1107.00,1064.00,1072.00,3167300,1053.472
2015-10-26,1096.00,1120.00,1093.00,1119.00,2013700,1099.659
2015-10-19,1055.00,1106.00,1055.00,1100.00,2459200,1080.988
2015-10-12,1073.00,1077.00,1045.00,1054.00,2776800,1035.783
2015-10-05,1065.00,1084.00,1060.76,1074.00,2997400,1055.437
2015-09-28,1039.00,1074.00,1008.00,1052.00,3494700,1033.817
2015-09-21,1026.00,1045.00,1008.00,1042.00,3190200,1023.99
2015-09-14,1021.00,1045.00,1000.67,1032.00,4125100,1014.163
2015-09-07,1024.00,1041.00,1010.00,1018.00,2799300,1000.405
2015-08-31,1035.00,1035.00,1007.00,1013.00,2709100,995.491
2015-08-24,991.00,1035.00,963.00,1035.00,6056500,1017.111
2015-08-17,1048.00,1050.00,1015.00,1015.00,5340100,997.457
2015-08-10,1045.00,1051.00,1012.00,1042.00,4031400,1023.99
2015-08-03,1019.00,1045.00,1015.00,1043.00,4075400,1024.973
2015-07-27,1089.00,1096.00,1017.00,1025.00,5604200,1007.284
2015-07-20,1129.00,1135.00,1090.00,1092.00,2374300,1073.126
2015-07-13,1115.00,1132.00,1108.00,1126.00,3195800,1106.538
2015-07-06,1050.00,1105.00,1047.99,1105.00,4132200,1085.901
2015-06-29,1068.00,1086.00,1052.00,1056.00,3915500,1037.748
2015-06-22,1122.00,1127.00,1083.69,1090.00,3822900,1071.161
2015-06-15,1113.00,1151.68,1093.00,1106.00,4590100,1077.314
2015-06-08,1117.00,1129.00,1108.00,1114.00,3835300,1085.106
2015-06-01,1148.00,1164.00,1112.00,1115.00,3679800,1086.08
2015-05-25,1148.00,1167.00,1139.00,1144.00,3559300,1114.328
2015-05-18,1142.00,1178.45,1135.00,1148.00,3319100,1118.225
2015-05-11,1182.00,1189.00,1109.66,1147.00,5542000,1117.25
2015-05-04,1154.00,1192.00,1131.00,1180.00,3572900,1149.395
2015-04-27,1178.00,1187.00,1132.00,1154.00,3497400,1124.069
2015-04-20,1166.00,1202.00,1163.00,1169.00,3389300,1138.68
2015-04-13,1217.00,1221.00,1162.00,1162.00,3199600,1131.861
2015-04-06,1183.00,1223.36,1174.00,1219.00,3009600,1187.383
2015-03-30,1189.00,1203.00,1162.00,1183.00,3036300,1152.317
2015-03-23,1200.00,1213.00,1117.55,1174.00,4089300,1143.55
2015-03-16,1175.00,1210.00,1168.00,1203.00,3511300,1171.798
2015-03-09,1162.00,1173.50,1135.00,1167.00,3082400,1136.732
2015-03-02,1150.00,1174.00,1141.00,1169.00,3435500,1138.68
2015-02-23,1141.00,1163.00,1130.00,1152.00,3926800,1122.121
2015-02-16,1117.00,1138.00,1099.00,1134.00,3612200,1104.588
2015-02-09,1126.00,1152.54,1100.00,1119.00,4012400,1089.977
2015-02-02,1152.00,1179.00,1118.00,1130.00,5180700,1100.691
2015-01-26,1131.00,1163.00,1125.00,1151.00,3611100,1121.147
2015-01-19,1091.00,1145.00,1091.00,1132.00,3525900,1102.64
2015-01-12,1083.00,1124.00,1062.00,1093.00,4406600,1047.901
2015-01-05,1093.00,1102.00,1055.00,1081.00,5131200,1036.396
2014-12-29,1121.00,1124.00,1080.68,1097.00,1605600,1051.736
2014-12-22,1092.00,1124.00,1087.00,1116.00,746200,1069.952
2014-12-15,1048.00,1098.00,1032.00,1086.00,4777000,1041.189
2014-12-08,1098.00,1105.00,1049.00,1049.00,3644200,1005.716
2014-12-01,1094.00,1113.00,1086.00,1104.00,3511100,1058.447
2014-11-24,1062.00,1095.00,1052.00,1090.00,3351500,1045.024
2014-11-17,1040.00,1070.00,1038.00,1062.00,2848800,1018.18
2014-11-10,1009.00,1053.00,1001.99,1044.00,2350800,1000.922
2014-11-03,1008.00,1016.50,988.00,1005.00,3398600,963.532
2014-10-27,978.50,1013.51,964.718,1006.00,3101200,964.49
2014-10-20,956.00,986.50,942.00,967.00,3874200,927.10
2014-10-13,942.00,962.00,924.408,958.00,5342200,918.471
2014-10-06,983.00,988.50,938.50,948.50,3385900,909.363
2014-09-29,963.00,1002.00,963.00,983.00,4190700,942.439
