Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,954.00,968.00,938.00,960.00,1597400,960.00
2016-02-15,890.00,953.50,855.00,953.50,1853200,953.50
2016-02-08,797.50,897.00,792.396,897.00,2280600,897.00
2016-02-01,718.50,808.00,704.00,788.00,1926000,788.00
2016-01-25,665.00,722.00,648.50,722.00,1440800,722.00
2016-01-18,688.00,699.50,632.50,661.50,1637800,661.50
2016-01-11,692.50,708.50,669.00,690.00,1293900,690.00
2016-01-04,703.50,735.50,692.50,693.00,1243300,693.00
2015-12-29,728.50,728.50,692.50,708.00,781900,708.00
2015-12-21,660.50,726.00,652.50,715.50,601800,715.50
2015-12-14,684.00,689.00,651.50,659.00,1139500,659.00
2015-12-07,702.50,706.50,612.50,675.00,1591600,675.00
2015-11-30,713.50,735.50,693.00,702.00,1313900,702.00
2015-11-23,690.50,752.00,685.50,715.00,1068500,715.00
2015-11-16,672.50,710.50,666.00,696.00,1146500,696.00
2015-11-09,703.00,713.438,668.50,673.00,1555900,673.00
2015-11-02,725.00,752.50,702.50,707.00,1312100,707.00
2015-10-26,752.50,772.50,725.234,730.00,1231600,730.00
2015-10-19,755.00,768.00,714.50,758.00,1355900,758.00
2015-10-12,735.50,770.50,724.00,759.50,1383500,759.50
2015-10-05,639.00,740.50,634.00,734.50,2029000,734.50
2015-09-28,619.50,636.00,585.50,633.50,1520500,633.50
2015-09-21,607.00,632.00,579.00,618.50,1366700,618.50
2015-09-14,598.50,622.50,569.625,610.00,1600200,610.00
2015-09-07,602.00,633.00,593.46,595.50,1068800,595.50
2015-08-31,620.50,631.00,594.438,596.00,1281600,596.00
2015-08-24,664.00,671.50,593.00,620.50,2278600,620.50
2015-08-17,671.00,696.00,646.50,681.50,1388500,681.50
2015-08-10,643.00,682.00,628.50,666.50,1800400,666.50
2015-08-03,643.50,663.00,625.50,638.00,2026400,636.702
2015-07-27,625.00,649.50,617.00,647.00,1208800,645.683
2015-07-20,650.50,657.50,616.50,618.50,1644100,617.241
2015-07-13,678.50,695.00,653.50,658.00,958800,656.661
2015-07-06,682.50,689.00,649.00,672.00,900800,670.632
2015-06-29,687.50,705.50,680.00,683.00,960400,681.61
2015-06-22,719.00,720.50,697.00,698.00,873600,696.58
2015-06-15,751.00,753.14,709.00,712.50,1543300,711.05
2015-06-08,716.00,742.00,708.438,737.00,1184900,735.50
2015-06-01,764.50,766.00,713.00,719.00,1173100,717.537
2015-05-25,763.00,765.00,725.50,759.50,1165800,757.954
2015-05-18,755.50,796.00,752.50,763.00,1670500,761.447
2015-05-11,706.50,770.00,693.50,752.00,1704300,750.47
2015-05-04,712.00,745.50,699.00,706.50,1244000,705.062
2015-04-27,725.00,756.50,709.50,712.00,1894500,710.551
2015-04-20,732.50,740.00,686.50,723.50,1442100,720.098
2015-04-13,704.00,765.50,703.50,728.50,1461700,725.075
