Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,852.50,881.00,852.50,879.00,1323600,879.00
2016-02-15,821.50,874.50,814.00,846.50,2094500,846.50
2016-02-08,898.00,899.00,749.00,805.00,3715500,805.00
2016-02-01,906.00,912.00,863.732,896.00,3073400,896.00
2016-01-25,997.00,997.00,883.00,899.00,3996100,899.00
2016-01-18,967.50,993.50,925.808,990.00,2256200,990.00
2016-01-11,1017.00,1056.00,954.36,960.00,2415800,960.00
2016-01-04,1102.00,1106.00,1009.00,1021.00,2289000,1017.084
2015-12-29,1121.00,1134.00,1112.00,1119.00,847300,1114.708
2015-12-21,1104.00,1127.00,1085.00,1112.00,1049600,1107.735
2015-12-14,1086.00,1155.00,1067.00,1110.00,2510400,1105.743
2015-12-07,1061.00,1128.00,1026.00,1088.00,2890700,1083.827
2015-11-30,1080.00,1115.00,1037.00,1052.00,1939100,1047.965
2015-11-23,1051.00,1091.00,1024.00,1084.00,1266100,1079.843
2015-11-16,975.00,1064.00,971.98,1060.00,1581000,1055.935
2015-11-09,1021.00,1040.00,973.00,983.50,1907200,979.728
2015-11-02,994.50,1048.00,993.72,1017.00,1555300,1013.10
2015-10-26,1010.00,1016.00,978.00,1000.00,985900,996.165
2015-10-19,946.50,1022.00,922.50,1012.00,2287700,1008.119
2015-10-12,1042.00,1042.00,944.00,949.50,1982000,945.859
2015-10-05,944.00,1058.00,941.50,1045.00,2951400,1040.992
2015-09-28,949.50,955.00,904.50,930.00,2102000,926.433
2015-09-21,977.50,988.50,925.50,949.50,2203700,945.859
2015-09-14,1009.00,1024.00,964.00,981.00,1886200,977.238
2015-09-07,993.00,1025.45,974.50,1009.00,2705400,1005.13
2015-08-31,945.50,1022.98,914.50,977.50,3758200,973.751
2015-08-24,865.00,950.00,838.00,945.50,4243600,941.874
2015-08-17,957.00,959.34,892.00,892.00,2333000,888.579
2015-08-10,961.00,983.50,942.468,952.00,2857500,948.349
2015-08-03,975.00,977.00,937.00,956.00,2450700,940.405
2015-07-27,936.00,985.00,919.591,981.50,3001900,965.489
