Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,488.00,520.00,488.00,517.50,2441100,517.50
2016-02-15,444.00,486.50,426.30,480.50,3507900,480.50
2016-02-08,449.40,456.70,373.00,433.30,5569900,433.30
2016-02-01,380.00,449.90,359.30,446.30,5211000,446.30
2016-01-25,374.30,393.10,350.40,380.20,5077200,380.20
2016-01-18,350.60,399.20,340.60,372.20,4467200,372.20
2016-01-11,394.00,405.50,348.60,350.60,5282000,350.60
2016-01-04,460.00,460.00,396.90,398.30,2685200,398.30
2015-12-29,459.80,475.40,449.30,469.30,1680500,469.30
2015-12-21,414.10,473.90,412.80,462.60,2293800,462.60
2015-12-14,431.10,434.90,408.90,416.30,3250000,416.30
2015-12-07,494.70,494.70,422.80,428.90,3817700,428.90
2015-11-30,495.80,520.50,483.20,491.70,2853400,491.70
2015-11-23,499.00,520.50,478.90,496.70,3166400,496.70
2015-11-16,477.00,518.00,465.90,508.00,4042400,508.00
2015-11-09,515.00,527.50,474.213,479.60,3715700,479.60
2015-11-02,521.00,558.18,502.50,514.50,3106700,514.50
2015-10-26,575.00,586.00,507.125,526.50,3803400,526.50
2015-10-19,576.50,584.50,538.00,574.50,3357300,574.50
2015-10-12,599.00,599.00,559.00,579.50,3334500,579.50
2015-10-05,523.00,610.50,518.50,596.00,4164000,596.00
2015-09-28,502.00,516.00,476.428,509.50,3791000,509.50
2015-09-21,576.50,583.50,504.00,506.00,3602900,506.00
2015-09-14,607.00,616.00,571.50,579.50,2921000,579.50
2015-09-07,590.00,633.50,589.50,607.50,3650000,604.385
2015-08-31,609.00,610.50,562.00,564.50,3988600,561.605
2015-08-24,548.00,622.00,519.50,609.00,5199000,605.877
2015-08-17,571.00,582.00,546.833,563.00,2726100,560.113
2015-08-10,589.50,596.00,549.00,569.50,2985500,566.579
2015-08-03,566.00,600.50,561.50,589.50,3119000,586.477
2015-07-27,583.00,591.50,552.50,567.00,4135200,564.092
2015-07-20,652.50,652.50,587.00,589.00,2909100,585.979
2015-07-13,660.50,668.00,646.50,651.00,2970800,647.662
2015-07-06,671.50,674.00,629.00,657.00,3404700,653.631
2015-06-29,695.00,711.00,674.675,682.00,2406000,678.503
2015-06-22,720.00,727.50,707.00,712.50,1645000,708.846
2015-06-15,727.00,732.00,706.50,713.00,2454200,709.344
2015-06-08,735.00,742.00,720.50,732.00,2400900,728.246
2015-06-01,748.50,772.50,728.36,737.00,2517300,733.221
2015-05-25,774.00,779.64,744.50,746.00,1680300,742.174
2015-05-18,787.00,802.00,767.50,774.00,2533700,770.031
2015-05-11,785.00,805.00,767.00,789.00,2463500,784.954
2015-05-04,792.50,811.50,774.50,790.00,2606200,785.949
2015-04-27,803.00,809.50,766.50,792.50,2871300,788.436
2015-04-20,735.50,805.00,735.00,793.50,3299600,789.431
2015-04-13,737.00,758.00,716.50,732.00,2142000,722.034
2015-04-06,718.00,752.50,717.00,740.50,2490100,730.418
2015-03-30,724.00,762.00,715.00,718.00,2707700,708.224
2015-03-23,716.50,739.50,704.42,715.00,2493000,705.265
2015-03-16,701.50,716.00,675.00,714.50,3960200,704.772
2015-03-09,740.00,754.50,692.00,698.50,3231100,688.99
2015-03-02,770.50,778.00,730.50,748.00,3200700,737.816
2015-02-23,750.00,786.00,723.00,767.00,2866300,756.557
2015-02-16,732.50,767.00,729.00,753.50,2338200,743.241
2015-02-09,701.00,738.50,682.895,731.00,2627600,721.047
2015-02-02,651.00,718.00,649.00,702.00,3835800,692.442
2015-01-26,664.00,703.00,646.00,650.00,3903100,641.15
2015-01-19,706.50,743.50,681.50,684.50,3509800,675.18
2015-01-12,752.50,752.50,620.00,691.00,5235000,681.592
2015-01-05,747.00,759.00,711.50,750.00,2759200,739.788
2014-12-29,753.50,761.50,737.50,748.00,901900,737.816
2014-12-22,746.00,754.50,733.00,745.50,749600,735.35
2014-12-15,696.00,748.50,672.50,744.50,3271900,734.363
2014-12-08,728.50,742.00,694.50,701.50,2029400,691.949
2014-12-01,724.00,753.00,713.00,732.00,2537700,722.034
2014-11-24,727.50,766.95,714.50,737.00,2997500,726.965
2014-11-17,711.00,733.50,688.818,730.50,2027200,720.554
2014-11-10,704.00,724.00,700.50,717.50,1583200,707.731
2014-11-03,698.50,715.00,689.50,703.50,2138900,693.922
2014-10-27,700.00,713.50,674.50,702.50,2947400,692.935
2014-10-20,685.00,699.50,674.00,693.00,2305700,683.565
2014-10-13,660.50,688.50,658.00,683.50,3337100,674.194
2014-10-06,683.00,718.00,658.85,661.50,3237800,652.493
2014-09-29,719.50,734.50,678.50,680.50,2927700,671.235
2014-09-22,747.50,750.821,719.50,722.00,3274700,712.17
2014-09-15,760.00,770.50,743.00,752.50,1897200,742.254
2014-09-08,793.00,796.50,761.00,764.00,1783500,746.522
2014-09-01,784.00,806.50,778.00,794.00,1668600,775.835
2014-08-25,808.00,813.00,775.50,785.50,2017800,767.53
2014-08-18,814.50,823.00,801.50,808.00,1334700,789.515
2014-08-11,811.00,826.50,801.50,807.00,1515400,788.538
2014-08-04,815.50,836.00,795.00,806.50,1494100,788.049
2014-07-28,850.00,861.50,796.00,809.50,2221900,790.981
2014-07-21,807.00,850.00,807.00,847.00,1284800,827.623
2014-07-14,813.00,825.50,802.00,805.50,1772300,787.072
2014-07-07,819.00,823.50,796.00,809.50,2030400,790.981
2014-06-30,762.00,834.50,759.00,827.00,3759500,808.08
2014-06-23,777.00,786.50,757.00,764.50,1698500,747.01
2014-06-16,748.00,775.00,734.50,770.50,2600500,752.873
2014-06-09,773.00,789.00,735.00,746.50,2574400,729.422
2014-06-02,793.00,806.00,766.00,772.50,1594700,754.827
2014-05-26,799.00,807.00,785.00,788.50,1485300,770.461
2014-05-19,793.00,802.00,768.00,799.00,1588600,780.721
2014-05-12,778.50,812.875,772.938,790.50,2555400,772.415
2014-05-05,790.50,808.50,760.00,769.00,1817600,751.407
2014-04-28,789.00,803.42,760.50,790.50,1974300,772.415
2014-04-21,828.50,847.00,789.00,790.00,1652100,771.927
2014-04-14,823.00,851.50,823.00,828.50,2001500,760.679
2014-04-07,857.00,874.00,809.00,825.00,2374400,757.466
2014-03-31,844.50,871.52,832.00,863.00,1895400,792.355
2014-03-24,806.00,845.00,795.50,841.50,2887300,772.615
2014-03-17,829.50,900.00,773.50,806.50,3504000,740.48
2014-03-10,850.00,873.00,816.50,829.50,2981800,761.597
2014-03-03,885.50,920.00,874.25,877.00,2687700,805.209
2014-02-24,950.00,950.00,897.50,900.50,2299700,826.785
2014-02-17,939.00,959.50,929.50,955.00,2035400,876.824
2014-02-10,895.00,940.50,888.50,938.50,3073200,861.675
2014-02-03,848.00,896.00,838.50,894.00,2435100,820.817
2014-01-27,802.50,887.50,796.187,850.50,3015800,780.878
2014-01-20,840.00,854.00,799.50,807.00,1912700,740.939
2014-01-13,785.00,848.975,776.00,846.50,2214200,777.206
2014-01-06,820.50,822.00,762.50,782.00,1553200,717.986
2013-12-30,832.00,842.00,805.00,821.00,587400,753.793
2013-12-23,800.50,834.00,793.00,830.50,382400,762.515
2013-12-16,755.50,803.00,747.00,796.50,1780600,731.299
2013-12-09,771.50,771.50,747.00,761.00,1474000,698.705
2013-12-02,794.50,798.50,733.00,769.00,1989400,706.05
2013-11-25,792.50,806.00,768.00,794.00,1821200,729.003
2013-11-18,812.50,818.50,781.50,789.50,1620900,724.872
2013-11-11,834.50,839.50,790.50,812.00,2500900,745.53
2013-11-04,841.00,900.50,821.00,836.50,2167700,768.024
2013-10-28,883.50,898.00,829.50,837.00,1940900,768.483
2013-10-21,899.00,910.50,862.19,875.50,1480800,803.832
2013-10-14,849.00,901.50,844.75,899.00,1430000,825.408
2013-10-07,820.00,865.00,810.50,859.00,1744800,788.682
2013-09-30,816.50,831.50,805.50,821.50,1423400,754.252
2013-09-23,851.50,865.50,816.759,830.00,1402400,762.056
2013-09-16,859.50,908.00,849.82,851.50,2166200,781.796
2013-09-09,901.00,906.00,840.00,849.50,1372700,775.063
2013-09-02,872.00,905.50,867.50,899.00,1699900,820.226
2013-08-26,915.00,930.00,846.00,855.00,2675700,780.081
2013-08-19,930.00,937.00,892.00,915.00,2281300,834.824
2013-08-12,950.00,985.00,926.50,936.50,1956800,854.44
2013-08-05,902.50,944.50,832.00,942.00,2009500,859.458
2013-07-29,861.50,914.50,855.00,901.00,2272300,822.05
2013-07-22,850.00,891.50,840.50,858.50,2044800,783.274
2013-07-15,835.50,867.00,812.50,846.00,1993600,771.87
2013-07-08,794.00,864.00,549.50,832.50,1870100,759.553
2013-07-01,805.00,851.50,784.00,784.50,2115500,715.759
2013-06-24,827.50,834.073,783.00,795.00,2492600,725.339
2013-06-17,917.50,917.50,821.50,838.50,2886400,765.027
2013-06-10,916.50,923.50,864.375,904.00,2464000,824.788
2013-06-03,943.00,983.915,902.994,922.00,1873300,841.21
2013-05-27,961.00,976.50,926.815,945.50,1744900,862.651
