Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,5700.00,5740.00,5650.00,5650.00,103800,5650.00
2016-02-15,5410.00,5700.00,5300.00,5685.00,223200,5685.00
2016-02-08,5090.00,5365.00,4654.00,5355.00,437200,5355.00
2016-02-01,5410.00,5455.00,5080.00,5085.00,188000,5085.00
2016-01-25,5055.00,5430.00,5005.00,5405.00,298600,5405.00
2016-01-18,5120.00,5150.00,4847.00,5035.00,303500,5035.00
2016-01-11,5370.00,5402.23,5135.00,5140.00,266700,5140.00
2016-01-04,5615.00,5615.00,5375.00,5375.00,259300,5375.00
2015-12-29,5665.00,5707.40,5630.00,5660.00,103400,5660.00
2015-12-21,5485.00,5665.00,5485.00,5620.00,141200,5620.00
2015-12-14,5720.00,5815.00,5445.00,5500.00,556500,5500.00
2015-12-07,5975.00,6025.00,5735.00,5750.00,190600,5750.00
2015-11-30,5875.00,6060.00,5875.00,5970.00,193000,5970.00
2015-11-23,5770.00,5985.00,5770.00,5930.00,143400,5930.00
2015-11-16,5740.00,5890.00,5675.70,5830.00,302400,5830.00
2015-11-09,5415.00,5975.00,5295.00,5740.00,272900,5707.16
2015-11-02,5245.00,5410.00,5193.15,5375.00,142300,5344.25
2015-10-26,5250.00,5360.00,5155.00,5205.00,163500,5175.22
2015-10-19,5225.00,5295.00,5140.00,5250.00,170000,5219.96
2015-10-12,4930.00,5230.00,4746.00,5200.00,211000,5170.25
2015-10-05,5060.00,5135.00,4924.00,4931.00,95800,4902.79
2015-09-28,4883.00,5150.00,4762.00,5015.00,114200,4986.31
2015-09-21,4828.00,4954.00,4647.00,4910.00,129300,4881.91
2015-09-14,4826.00,4873.00,4728.00,4832.00,112900,4804.35
2015-09-07,4844.00,4965.00,4804.00,4820.00,95000,4792.42
2015-08-31,4859.00,4967.00,4793.00,4829.00,139900,4801.37
2015-08-24,4690.00,4897.00,4522.72,4859.00,172300,4831.20
2015-08-17,5030.00,5050.00,4789.00,4790.00,130300,4762.60
2015-08-10,4974.00,5045.00,4904.00,5025.00,110500,4996.25
2015-08-03,5060.00,5100.00,4911.00,4957.00,161200,4928.64
2015-07-27,4997.00,5145.00,4898.00,5060.00,156000,5031.05
2015-07-20,5165.00,5215.00,4990.00,5005.00,103900,4976.37
2015-07-13,5145.00,5305.00,5130.00,5200.00,155500,5170.25
2015-07-06,5005.00,5155.00,4919.00,5100.00,166500,5070.82
2015-06-29,5045.00,5175.00,4957.00,5090.00,154100,5060.88
2015-06-22,5175.00,5175.00,5000.00,5080.00,201600,5050.94
2015-06-15,5145.00,5155.00,4967.00,5065.00,198300,5036.02
2015-06-08,5160.00,5240.00,5062.10,5145.00,182200,5115.56
2015-06-01,5240.00,5320.00,5100.00,5145.00,196500,5115.56
2015-05-25,5160.00,5310.00,5105.00,5200.00,284700,5170.25
2015-05-18,4337.00,5195.00,4337.00,5160.00,449400,5075.78
2015-05-11,4398.00,4426.00,4280.00,4370.00,150500,4298.68
2015-05-04,4196.00,4499.00,4130.00,4398.00,226700,4326.22
2015-04-27,4281.00,4314.00,4126.00,4196.00,139600,4127.52
2015-04-20,4283.00,4397.40,4248.00,4301.00,158700,4230.80
2015-04-13,4250.00,4307.00,4186.00,4258.00,269500,4188.50
2015-04-06,4176.00,4269.00,4176.00,4245.00,230700,4175.72
2015-03-30,4099.00,4188.00,3975.00,4176.00,210000,4107.84
2015-03-23,4150.00,4178.00,4032.00,4066.00,139900,3999.64
2015-03-16,4126.00,4219.00,4126.00,4155.00,390400,4087.19
2015-03-09,4024.00,4152.00,3995.00,4129.00,246900,4061.61
2015-03-02,3870.00,4035.00,3778.00,4017.00,185900,3951.44
2015-02-23,3949.00,3949.00,3825.00,3870.00,103400,3806.84
2015-02-16,3820.00,3914.00,3748.00,3873.00,196000,3809.79
2015-02-09,3749.00,3845.00,3612.00,3818.00,320000,3755.69
2015-02-02,3532.00,3764.00,3517.00,3745.00,167800,3683.88
2015-01-26,3638.00,3680.00,3528.00,3528.00,141000,3470.42
2015-01-19,3430.00,3635.00,3424.00,3625.00,158200,3565.84
2015-01-12,3500.00,3500.00,3357.00,3423.00,114300,3367.13
2015-01-05,3521.00,3556.00,3473.00,3482.00,186500,3425.17
2014-12-29,3511.00,3599.00,3501.00,3517.00,33600,3459.60
2014-12-22,3526.00,3620.00,3494.00,3549.00,21500,3491.08
2014-12-15,3317.00,3531.00,3310.32,3494.00,190800,3436.97
2014-12-08,3522.00,3525.00,3294.00,3325.00,169500,3270.73
2014-12-01,3508.00,3571.00,3443.00,3502.00,149100,3444.84
2014-11-24,3591.00,3632.00,3543.00,3561.00,78500,3502.88
2014-11-17,3405.00,3615.00,3405.00,3559.00,109800,3500.91
2014-11-10,3482.00,3489.00,3422.00,3435.00,105300,3378.94
2014-11-03,3505.00,3523.00,3400.00,3473.00,223500,3387.84
2014-10-27,3459.00,3517.00,3377.00,3494.00,240700,3408.33
2014-10-20,3228.00,3467.00,3228.00,3409.00,116700,3325.41
2014-10-13,3277.00,3277.00,3050.00,3262.00,308200,3182.02
2014-10-06,3409.00,3409.00,3209.00,3277.00,165400,3196.65
2014-09-29,3415.00,3457.00,3305.00,3350.00,137900,3267.86
2014-09-22,3444.00,3490.00,3236.00,3375.00,163800,3292.25
2014-09-15,3424.00,3500.00,3384.00,3464.00,359700,3379.06
2014-09-08,3537.00,3561.00,3409.00,3449.00,101900,3364.43
2014-09-01,3565.00,3708.00,3535.00,3544.00,108600,3457.10
2014-08-25,3461.00,3581.00,3431.00,3576.00,81900,3488.32
2014-08-18,3439.00,3461.00,3351.00,3461.00,173000,3376.14
2014-08-11,3349.00,3439.00,3296.00,3385.00,188200,3302.00
2014-08-04,3385.00,3405.00,3239.00,3296.00,96600,3215.18
2014-07-28,3498.00,3498.00,3271.00,3397.00,55200,3313.71
2014-07-21,3500.00,3550.00,3401.00,3479.00,93200,3393.70
2014-07-14,3535.00,3548.00,3430.00,3495.00,75200,3409.30
2014-07-07,3654.00,3654.00,3450.00,3481.00,117200,3395.65
2014-06-30,3536.00,3693.00,3531.00,3639.00,122200,3549.77
2014-06-23,3420.00,3602.00,3356.00,3555.00,168300,3467.83
2014-06-16,3498.00,3500.00,3410.00,3422.00,167400,3338.09
2014-06-09,3594.00,3617.00,3489.00,3489.00,101300,3403.45
2014-06-02,3510.00,3650.00,3510.00,3606.00,140200,3517.58
