Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,463.30,471.15,463.10,467.45,12673300,467.45
2016-02-15,456.70,469.95,452.35,457.85,13610100,457.85
2016-02-08,475.00,476.549,442.30,448.25,19763600,448.25
2016-02-01,497.00,502.30,475.60,475.90,20725800,475.90
2016-01-25,488.20,488.20,456.072,484.85,18436000,484.85
2016-01-18,461.35,487.90,449.35,487.25,16579700,487.25
2016-01-11,465.65,479.45,458.80,463.30,13845400,463.30
2016-01-04,467.25,471.95,454.80,465.65,11655700,465.65
2015-12-29,479.45,481.55,467.50,471.70,6054600,471.70
2015-12-21,458.20,473.90,454.85,467.05,8351100,467.05
2015-12-14,462.40,476.90,456.196,458.30,17017300,454.036
2015-12-07,481.55,487.00,460.55,460.55,12297300,456.265
2015-11-30,499.50,502.60,473.65,479.35,15327000,474.89
2015-11-23,488.45,500.30,482.80,499.80,10100500,495.15
2015-11-16,470.95,495.00,469.20,491.20,15263400,486.63
2015-11-09,464.70,487.80,460.02,475.15,15959400,470.729
2015-11-02,462.60,470.569,460.00,465.55,10578800,461.218
2015-10-26,448.45,476.10,446.588,465.00,16755400,460.673
2015-10-19,429.30,458.30,425.55,450.20,11372000,446.011
2015-10-12,437.05,437.225,417.20,430.10,12261100,426.098
2015-10-05,427.00,436.65,420.975,434.00,13173800,429.962
2015-09-28,419.20,430.35,409.70,420.55,17231000,416.637
2015-09-21,413.35,423.30,404.00,420.50,15173600,416.588
2015-09-14,424.00,430.00,406.35,415.00,16465200,411.139
2015-09-07,426.10,441.40,414.90,422.65,14033400,418.718
2015-08-31,437.35,437.35,416.35,422.45,10694500,418.519
2015-08-24,426.35,439.15,407.05,437.35,24388900,433.281
2015-08-17,458.50,458.50,435.70,435.70,11176800,431.646
2015-08-10,471.00,471.65,452.113,456.20,13850400,451.955
2015-08-03,464.50,472.10,463.95,465.30,12776200,452.479
2015-07-27,463.50,473.80,456.85,464.45,21734500,451.652
2015-07-20,476.85,481.75,461.00,462.30,11629800,449.561
2015-07-13,462.00,477.90,457.618,477.90,13460000,464.731
2015-07-06,446.75,466.00,437.85,455.15,12147200,442.608
2015-06-29,451.00,464.40,447.90,453.80,14303200,441.295
2015-06-22,460.00,470.50,457.66,464.15,15867200,451.36
2015-06-15,450.85,456.70,442.25,454.25,22918400,441.733
2015-06-08,446.00,454.60,437.70,453.50,18975100,441.004
2015-06-01,447.40,450.85,436.30,439.40,17185200,427.292
2015-05-25,451.05,460.45,445.10,446.70,14697400,434.391
2015-05-18,463.50,467.50,451.05,451.05,14643200,438.621
2015-05-11,469.05,471.20,460.266,463.00,16422400,450.242
2015-05-04,459.80,472.85,447.50,469.65,16818500,456.709
2015-04-27,467.75,472.00,449.10,459.80,15354100,447.13
