Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,440.60,442.20,434.40,434.20,6585400,434.20
2016-02-15,429.70,449.90,424.30,436.90,8644400,436.90
2016-02-08,434.00,436.60,400.10,419.20,14574000,419.20
2016-02-01,482.80,484.90,431.10,431.60,10610700,431.60
2016-01-25,477.70,480.80,452.00,480.80,7789200,480.80
2016-01-18,464.10,479.20,446.30,472.00,9702000,472.00
2016-01-11,476.20,485.894,458.70,464.50,8534200,464.50
2016-01-04,507.00,507.00,476.90,476.90,6387400,476.90
2015-12-29,518.00,522.00,512.50,516.00,3459200,516.00
2015-12-21,502.00,522.50,502.00,519.00,4893200,519.00
2015-12-14,492.00,510.50,481.00,504.00,7745000,504.00
2015-12-07,510.50,515.00,487.40,490.60,6782000,490.60
2015-11-30,512.00,518.129,501.25,507.50,6564900,507.50
2015-11-23,508.50,514.50,496.90,513.00,5920800,513.00
2015-11-16,476.70,514.00,476.40,511.50,8307100,511.50
2015-11-09,489.60,492.80,475.70,478.30,8450200,478.30
2015-11-02,482.50,494.60,480.676,487.10,6710600,487.10
2015-10-26,478.90,492.903,473.50,486.00,7912300,486.00
2015-10-19,465.70,481.20,460.77,480.60,6265500,480.60
2015-10-12,475.80,476.835,456.70,466.70,8974200,466.70
2015-10-05,470.30,487.10,467.30,476.20,9839700,476.20
2015-09-28,452.70,466.20,428.40,462.00,12990800,455.533
2015-09-21,451.80,462.00,438.60,453.30,9822400,446.955
2015-09-14,466.90,476.60,446.00,452.70,13019300,446.363
2015-09-07,463.20,482.90,459.60,465.70,6916300,459.181
2015-08-31,483.80,483.80,458.80,459.20,7455200,452.772
2015-08-24,467.60,491.00,449.892,483.80,13333800,477.028
2015-08-17,514.00,515.00,482.00,482.00,7629500,475.253
2015-08-10,526.00,530.00,507.50,510.00,8583500,502.861
2015-08-03,517.00,537.50,514.75,523.00,8477000,515.679
2015-07-27,516.50,522.239,512.50,520.00,8961700,512.721
2015-07-20,534.00,535.891,516.00,517.50,7369100,510.256
2015-07-13,529.50,537.00,524.00,535.50,6606300,528.004
2015-07-06,493.20,527.50,479.392,524.00,10660500,516.665
2015-06-29,498.70,506.50,492.50,497.90,9188500,490.93
2015-06-22,512.00,522.50,506.00,510.50,7753800,503.354
2015-06-15,511.50,512.00,498.10,505.00,8741500,497.931
2015-06-08,514.50,523.50,500.65,514.50,8300800,507.298
2015-06-01,528.00,528.00,511.20,515.00,8936200,507.791
2015-05-25,538.00,540.26,522.50,523.50,8102300,516.172
2015-05-18,542.00,546.00,529.82,538.00,7551000,530.469
2015-05-11,542.50,544.68,523.00,542.50,11030300,534.906
2015-05-04,523.00,544.50,507.50,544.50,10732500,536.878
2015-04-27,532.00,538.50,512.00,523.00,13341700,515.679
2015-04-20,545.50,552.00,525.50,531.00,9620300,523.567
2015-04-13,564.00,574.00,541.00,543.00,11660000,535.399
2015-04-06,553.00,563.35,543.50,555.00,10312400,547.231
2015-03-30,556.50,559.00,532.00,553.00,11232100,521.473
2015-03-23,571.00,574.50,545.50,550.50,8978100,519.116
2015-03-16,547.50,571.575,543.00,570.00,8858400,537.504
2015-03-09,559.50,564.67,539.32,543.00,7238700,512.044
2015-03-02,538.00,578.68,529.686,563.00,11714900,530.903
2015-02-23,550.00,551.936,538.50,539.00,6988800,508.272
2015-02-16,539.00,552.733,536.00,546.50,6391200,515.344
2015-02-09,535.50,543.312,529.50,541.00,5322600,510.158
2015-02-02,531.50,539.613,522.50,537.00,9475700,506.386
2015-01-26,534.00,546.615,524.50,528.00,11090500,497.899
2015-01-19,509.00,548.00,489.121,536.50,11258200,505.914
2015-01-12,492.00,507.50,479.838,506.50,13498100,477.624
2015-01-05,482.60,496.60,462.346,490.40,11954500,462.442
2014-12-29,496.80,497.14,482.269,484.40,2705000,456.784
2014-12-22,495.50,499.068,488.00,494.80,1736400,466.591
2014-12-15,483.80,498.70,458.20,495.00,14399100,466.78
2014-12-08,506.00,509.52,467.40,468.00,11670600,441.319
2014-12-01,505.50,515.90,496.70,506.00,15050700,477.153
2014-11-24,522.00,524.00,505.00,508.00,14432700,479.039
2014-11-17,526.00,540.00,525.00,539.00,4532700,508.272
2014-11-10,524.50,530.00,519.50,529.50,5278600,499.313
2014-11-03,519.50,533.75,514.50,525.00,5793600,495.07
2014-10-27,512.00,526.00,504.664,521.00,6509100,491.298
2014-10-20,492.70,508.523,487.10,507.00,5921500,478.096
2014-10-13,485.90,500.50,466.10,494.50,10153900,466.309
2014-10-06,519.50,520.00,489.10,490.50,8276300,462.537
2014-09-29,531.50,535.50,506.00,519.50,6617200,484.297
2014-09-22,535.00,535.82,516.50,532.00,5485800,495.95
2014-09-15,523.50,542.39,521.50,535.50,7462800,499.213
2014-09-08,529.00,534.00,520.00,525.50,5100200,489.89
2014-09-01,520.00,535.00,512.00,531.00,6173700,495.018
2014-08-25,520.00,525.50,510.022,521.00,3787000,485.695
2014-08-18,507.50,522.50,503.50,520.00,4038300,484.763
2014-08-11,497.30,509.024,492.30,503.00,5499500,468.915
2014-08-04,495.00,508.00,485.038,492.80,7145100,459.406
2014-07-28,508.50,510.75,492.50,493.70,5533100,460.245
2014-07-21,488.70,512.82,484.20,507.50,4870200,473.11
2014-07-14,491.50,501.50,483.90,489.50,6291400,456.33
2014-07-07,521.50,523.50,480.40,490.00,10376300,456.796
2014-06-30,513.00,526.837,506.00,521.50,4837100,486.161
2014-06-23,512.00,513.50,495.50,512.00,6390000,477.305
2014-06-16,512.50,518.00,506.639,511.00,4937000,476.373
2014-06-09,536.00,536.00,508.50,514.50,3543900,479.636
2014-06-02,525.50,535.025,518.00,534.00,3792700,497.814
2014-05-26,518.788,571.50,518.694,524.00,3173800,488.492
2014-05-19,514.50,522.00,503.00,518.788,4473800,483.633
2014-05-12,525.50,536.50,502.00,513.00,6846600,478.237
2014-05-05,523.00,533.00,514.50,524.50,3921600,488.958
2014-04-28,509.50,527.50,505.50,523.00,5659800,487.56
2014-04-21,509.00,515.50,503.00,509.50,4293600,474.974
2014-04-14,497.30,512.00,489.50,509.00,5061700,474.508
2014-04-07,492.80,507.00,484.12,499.20,7839000,465.372
2014-03-31,473.50,501.857,473.10,498.20,12556500,464.44
