1560,1576.5,1508.5,1573.42,4688600,1438.263,0.007633686
1627.5,1678.5,1540.5,1561.5,5412100,1427.367,-0.026496259
1565,1613.06,1529,1604,2874400,1466.217,0.024920128
1533,1589.5,1505.5,1565,3521800,1430.567,0.020874103
1547,1605.5,1519,1533,3697800,1401.315,-0.009049774
1531,1550,1504.5,1547,4089500,1414.113,0.006506181
1547.5,1594.5,1516.5,1537,5225900,1404.972,-0.017891374
1517,1573,1505,1565,4161200,1430.567,0.037110669
1440,1533.5,1433,1509,7730800,1379.377,0.048280653
1428,1483,1374.5,1439.5,5143600,1315.847,0.011595221
1450,1466.5,1387,1423,5403100,1272.772,-0.027008547
1490.5,1574.5,1455.5,1462.5,5854700,1308.102,-0.044741999
1553,1553,1475,1531,6020200,1369.37,-0.018904197
1531,1593,1518.5,1560.5,8212500,1395.756,0.02698256
1487.5,1565,1477.76,1519.5,6854100,1359.084,0.026689189
1440,1482.5,1390.5,1480,5618100,1323.754,0.030640669
1333.5,1457,1317,1436,9030000,1284.4,0.071641791
1380,1414,1333,1340,5578600,1198.534,-0.03666427
1256.5,1436.5,1250,1391,5931500,1244.15,0.113245298
1290.5,1300,1221,1249.5,3598300,1117.589,-0.036622976
1311,1346.25,1275,1297,1985000,1160.074,-0.009545628
1268,1311,1261.57,1309.5,1308200,1171.254,0.038461538
1254.5,1294.5,1236,1261,4599600,1127.875,-0.006695549
1325,1330.5,1248.75,1269.5,3352100,1135.477,-0.041886792
1346.5,1352,1266.5,1325,3902100,1185.118,-0.017790956
1387,1390.5,1328.5,1349,3389100,1206.584,-0.022463768
1431.5,1445.5,1342.5,1380,2834700,1234.312,-0.034965035
1495,1495,1386,1430,3702800,1279.033,-0.041876047
1461.5,1583.5,1461.5,1492.5,3768400,1334.935,0.022260274
1520,1534,1455,1460,3266000,1305.866,-0.031830239
1531.5,1581.5,1486,1508,3382100,1348.798,-0.015665796
1506,1574,1490.5,1532,2572700,1370.265,0.013227513
1483,1519,1439,1512,2210800,1352.376,0.014084507
1517.5,1525.5,1453,1491,2568000,1333.593,-0.031818182
1590,1595.5,1513,1540,2798800,1377.42,-0.032055311
1593,1662.5,1557.5,1591,3323200,1423.036,0.014344916
1586,1641,1555,1568.5,3372600,1402.911,-0.007906388
1503,1583,1502,1581,3184900,1414.092,0.069327021
1524.5,1546,1472.5,1478.5,2715100,1322.413,-0.030173827
1539,1541.19,1445,1524.5,2936300,1363.557,-0.014862682
1543.5,1584,1486,1547.5,3445500,1384.128,0.003241491
1460,1546.5,1390,1542.5,3267600,1361.535,0.058682224
1396.5,1491,1385,1457,2602900,1286.066,0.047447879
