Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,450.70,456.30,438.90,440.20,1384900,440.20
2016-02-15,440.00,453.50,429.50,448.40,2311300,448.40
2016-02-08,444.00,444.60,415.40,431.10,3313300,431.10
2016-02-01,475.20,477.20,440.10,440.10,3109300,440.10
2016-01-25,468.40,473.70,452.30,473.70,3717900,473.70
2016-01-18,445.00,466.10,414.70,464.90,3151100,464.90
2016-01-11,462.00,478.748,442.90,445.40,2533600,445.40
2016-01-04,497.30,506.50,463.30,463.30,2633300,463.30
2015-12-29,500.00,501.50,495.10,500.00,1604500,500.00
2015-12-21,479.00,500.00,476.763,497.70,1394500,494.46
2015-12-14,471.90,500.00,464.40,477.10,3340700,473.994
2015-12-07,481.50,488.50,465.98,470.60,2839000,467.536
2015-11-30,480.80,490.60,472.80,479.60,2768800,476.478
2015-11-23,462.20,483.00,452.50,481.60,2341400,478.465
2015-11-16,451.70,466.20,448.98,464.60,1982900,461.575
2015-11-09,467.10,467.88,452.60,455.00,1882700,452.038
2015-11-02,457.60,472.20,455.10,467.10,2110100,464.059
2015-10-26,457.10,461.30,451.20,461.30,2822000,458.297
2015-10-19,430.00,458.90,427.00,458.20,1909300,455.217
2015-10-12,433.00,435.00,423.20,430.60,1669100,427.797
2015-10-05,441.70,449.20,430.80,432.80,2681800,429.982
2015-09-28,420.60,439.60,410.70,435.10,3389100,432.267
2015-09-21,420.70,426.30,405.90,422.40,2816300,419.65
2015-09-14,422.10,430.30,411.70,422.60,2883700,419.849
2015-09-07,415.00,431.00,412.60,420.90,3293400,418.16
2015-08-31,431.40,433.30,412.30,412.30,3044700,409.616
2015-08-24,410.80,433.60,398.90,431.40,5456800,428.591
2015-08-17,450.80,451.224,421.80,421.90,2250600,413.17
2015-08-10,453.00,458.50,442.50,448.40,2473400,439.121
2015-08-03,454.00,465.20,452.50,456.00,2589600,446.564
2015-07-27,458.30,459.70,447.60,455.80,2454300,446.368
2015-07-20,462.10,475.10,459.944,461.00,2545200,451.461
2015-07-13,453.30,471.90,451.40,462.20,3365200,452.636
