Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,508.00,512.50,507.00,510.00,3513700,497.50
2016-02-15,477.30,511.50,472.80,505.50,7674400,493.11
2016-02-08,481.00,481.80,455.40,467.10,8431600,455.651
2016-02-01,520.00,520.00,477.70,479.00,9005500,467.26
2016-01-25,496.00,517.00,491.10,516.00,9222100,503.353
2016-01-18,512.50,519.00,477.70,492.70,10950300,480.624
2016-01-11,523.50,535.89,509.00,513.50,11662400,500.914
2016-01-04,496.50,534.00,487.70,519.50,10365000,506.767
2015-12-28,497.30,508.125,497.30,499.60,1988200,487.355
2015-12-21,490.50,507.00,486.40,497.30,3068700,485.111
2015-12-14,490.90,501.50,482.30,492.50,6698100,480.429
2015-12-07,510.50,516.00,488.20,490.50,6220000,478.478
2015-11-30,520.00,521.00,504.00,508.50,7248500,496.037
2015-11-23,492.20,522.00,489.30,519.50,8870700,506.767
2015-11-16,450.20,499.414,449.755,492.00,9703600,479.941
2015-11-09,446.00,473.00,433.60,453.60,9842800,442.482
2015-11-02,437.30,451.30,436.725,445.00,6438100,434.093
2015-10-26,452.40,456.834,433.00,440.30,8178500,429.508
2015-10-19,453.20,460.90,439.60,454.00,5349800,442.873
2015-10-12,468.30,469.10,449.90,454.90,5887000,435.524
2015-10-05,451.90,473.20,450.90,469.00,5448900,449.023
2015-09-28,439.80,455.10,435.90,445.20,8325500,426.237
2015-09-21,439.20,441.70,423.70,440.00,7281400,421.258
2015-09-14,454.00,457.90,429.10,440.40,8910100,421.641
2015-09-07,446.50,452.30,438.90,451.70,6738500,432.46
2015-08-31,452.20,455.00,441.80,442.90,5650000,424.035
2015-08-24,434.80,452.20,419.30,452.20,10081800,432.939
2015-08-17,470.80,473.10,444.70,444.70,5953300,425.758
2015-08-10,474.80,475.60,457.40,468.30,7981800,448.353
2015-08-03,478.40,481.60,468.90,471.50,9081800,451.417
2015-07-27,460.00,481.50,457.40,480.20,8492200,459.746
2015-07-20,484.80,486.22,461.20,461.90,6924500,442.226
2015-07-13,483.90,488.70,476.00,482.40,7102500,461.852
2015-07-06,449.00,477.00,442.357,473.90,8987100,453.715
2015-06-29,457.60,467.16,450.334,452.30,7345300,433.035
2015-06-22,480.40,482.90,467.90,468.20,9324400,448.257
2015-06-15,486.40,488.50,466.10,474.40,7314000,454.193
2015-06-08,496.60,499.30,485.90,489.10,6139700,468.267
2015-06-01,517.00,520.00,498.00,498.30,6022700,477.075
2015-05-25,515.50,524.50,512.00,515.00,5684700,493.064
2015-05-18,502.50,517.50,498.50,515.50,6781300,493.543
2015-05-11,508.00,514.17,495.30,503.50,7326300,482.054
2015-05-04,503.50,519.00,489.40,509.50,5738100,487.798
2015-04-27,516.00,527.97,499.105,503.50,6816100,482.054
2015-04-20,515.50,525.642,500.50,515.00,10664500,493.064
2015-04-13,540.00,541.00,509.50,513.00,7313700,491.149
